Time(sec),Intensity
111,0.4666666667
111.5,0.4666666667
112,0.4666666667
112.5,0.4666666667
113,0.4666666667
113.5,0.4666666667
114,0.4666666667
114.5,0.4666666667
115,0.4666666667
115.5,0.4666666667
116,0.4666666667
116.5,0.4666666667
117,0.4666666667
117.5,0.4666666667
118,0.4666666667
118.5,0.4666666667
119,0.4666666667
119.5,0.4666666667
120,0.4666666667
120.5,0.4666666667
121,0.4666666667
121.5,0.4666666667
122,0.4666666667
122.5,0.4666666667
123,0.4666666667
123.5,0.4666666667
124,0.4666666667
124.5,0.4666666667
125,0.4666666667
125.5,0.4666666667
126,0.4666666667
126.5,0.4666666667
127,0.4666666667
127.5,0.4666666667
128,0.4666666667
128.5,0.4666666667
129,0.4666666667
129.5,0.4666666667
130,0.4666666667
130.5,0.4666666667
131,0.4666666667
131.5,0.4666666667
132,0.4666666667
132.5,0.4666666667
133,0.4666666667
133.5,0.4666666667
134,0.4666666667
134.5,0.4666666667
135,0.4666666667
135.5,0.4666666667
136,0.4666666667
136.5,0.4666666667
137,0.4666666667
137.5,0.4666666667
138,0.4666666667
138.5,0.4666666667
139,0.4666666667
139.5,0.4666666667
140,0.4666666667
140.5,0.4666666667
141,0.4666666667
141.5,0.4666666667
142,0.4666666667
142.5,0.4666666667
143,0.4666666667
143.5,0.4422077922
144,0.3723905724
144.5,0.3016835017
145,0.230976431
145.5,0.1602693603
146,0.0895622896
146.5,0.0209415786
147,0.0156075808
147.5,0.0390189521
148,0.0624303233
148.5,0.0858416945
149,0.1092530658
149.5,0.132664437
150,0.1560758083
150.5,0.1794871795
151,0.2028985507
151.5,0.226309922
152,0.2497212932
152.5,0.2731326645
153,0.2965440357
153.5,0.3199554069
154,0.3433667782
154.5,0.3667781494
155,0.3901895207
155.5,0.4136008919
156,0.4370122631
156.5,0.459830387
157,0.4666666667
157.5,0.4666666667
158,0.4666666667
158.5,0.4666666667
159,0.4666666667
159.5,0.4666666667
160,0.4646360886
160.5,0.4499442587
161,0.4332218506
161.5,0.4164994426
162,0.3997770346
162.5,0.3830546265
163,0.3663322185
163.5,0.3496098105
164,0.3328874025
164.5,0.3161649944
165,0.2994425864
165.5,0.2827201784
166,0.2659977703
166.5,0.2492753623
167,0.2325529543
167.5,0.2158305462
168,0.1991081382
168.5,0.1823857302
169,0.1656633222
169.5,0.1489409141
170,0.139752518
170.5,0.1737373737
171,0.2141414141
171.5,0.2545454545
172,0.2949494949
172.5,0.3353535353
173,0.3757575758
173.5,0.4173022744
174,0.4673400673
174.5,0.5178451178
175,0.5683501683
175.5,0.6188552188
176,0.6693602693
176.5,0.7182060667
177,0.7132328308
177.5,0.683082077
178,0.6529313232
178.5,0.6227805695
179,0.5926298157
179.5,0.5624790619
180,0.5323283082
180.5,0.5021775544
181,0.4720268006
181.5,0.4418760469
182,0.4117252931
182.5,0.3815745393
183,0.3514237856
183.5,0.3299648365
184,0.3198653198
184.5,0.3097643098
185,0.2996632997
185.5,0.2895622896
186,0.2794612795
186.5,0.2695656881
187,0.2639892905
187.5,0.2599732263
188,0.255957162
188.5,0.2519410978
189,0.2479250335
189.5,0.2439089692
190,0.239892905
190.5,0.2358768407
191,0.2318607765
191.5,0.2278447122
192,0.2238286479
192.5,0.2198125837
193,0.2157965194
193.5,0.2117804552
194,0.2077643909
194.5,0.2037483266
195,0.2052695631
195.5,0.2404040404
196,0.2808080808
196.5,0.3212121212
197,0.3616161616
197.5,0.402020202
198,0.4424242425
198.5,0.4664983165
199,0.4666666667
199.5,0.4666666667
200,0.4666666667
200.5,0.4973176613
201,0.5848101266
201.5,0.6734177215
202,0.7620253164
202.5,0.8506329114
203,0.9054913828
203.5,0.7700680272
204,0.6068027211
204.5,0.4468066467
205,0.3540229885
205.5,0.2873135531
206,0.2936026936
206.5,0.334006734
207,0.3744107744
207.5,0.4148148148
208,0.4552188552
208.5,0.4956228956
209,0.531437564
209.5,0.5478260869
210,0.5623188406
210.5,0.5768115942
211,0.5913043478
211.5,0.5860100148
212,0.5463087248
212.5,0.5060402685
213,0.4657718121
213.5,0.4255033557
214,0.3852348993
214.5,0.344966443
215,0.3046979866
215.5,0.2644295302
216,0.2241610738
216.5,0.2284060193
217,0.3088435374
217.5,0.3904761905
218,0.4592808552
218.5,0.4666666667
219,0.4666666667
219.5,0.4666666667
220,0.4666666667
220.5,0.4666666667
221,0.4666666667
221.5,0.4666666667
222,0.4666666667
222.5,0.4666666667
223,0.4666666667
223.5,0.4666666667
224,0.4666666667
224.5,0.4666666667
225,0.4666666667
225.5,0.4666666667
226,0.4666666667
226.5,0.4666666667
227,0.4666666667
227.5,0.4666666667
228,0.4654483198
